URLs,Frequency,Dates
ift.tt/2wfolJp,2,"['2017-08-29T18:49:2', '2017-08-29T18:50:1']"
elle.com/cultu,2,"['2017-08-29T18:22:4', '2017-08-29T21:21:1']"
goo.gl/fb/S5pvV,2,"['2017-08-29T18:07:1', '2017-08-29T18:07:1']"
yahoo.com/news,2,"['2017-08-29T18:04:5', '2017-08-29T22:22:1']"
hollywoodlife.c,2,"['2017-08-29T17:45:2', '2017-08-29T20:27:2']"
hbaz.co/cmdzIXT,2,"['2017-08-29T17:34:5', '2017-08-29T17:34:5']"
youtu.be/4v08o9,2,"['2017-08-29T17:32:1', '2017-08-29T19:38:3']"
ift.tt/2vpaMZ2,2,"['2017-08-29T17:22:2', '2017-08-29T17:22:2']"
buzz.affcart.co,2,"['2017-08-29T17:10:1', '2017-08-29T17:10:1']"
bit.ly/2wlSqpn,2,"['2017-08-29T16:54:1', '2017-08-29T16:54:1']"
popsugar.com/f,2,"['2017-08-29T16:41:3', '2017-08-29T16:41:3']"
nyti.ms/2vH4103,2,"['2017-08-29T16:40:3', '2017-08-29T17:09:4']"
ift.tt/2wlOnZS,2,"['2017-08-29T16:01:3', '2017-08-29T21:10:1']"
twitter.com/Pan,1,['2017-08-29T23:00:1']
fb.me/53v8x2NWD,1,['2017-08-29T22:02:1']
goo.gl/fb/C92mD,1,['2017-08-29T21:53:5']
dlvr.it/PjV38J,1,['2017-08-29T21:53:1']
twitter.com/Mek,1,['2017-08-29T21:52:0']
twitter.com/dou,1,['2017-08-29T21:52:0']
dlvr.it/PjV19b,1,['2017-08-29T21:48:1']
twitter.com/i/w,1,['2017-08-29T21:41:0']
goo.gl/fb/B9FW2,1,['2017-08-29T21:40:5']
youtu.be/jz-Bvg,1,['2017-08-29T21:39:3']
zpr.io/PW8s7,1,['2017-08-29T21:37:1']
nextdivas.com/2,1,['2017-08-29T21:31:1']
aol.com/,1,['2017-08-29T21:27:1']
bet.us/2xvGe5g,1,['2017-08-29T21:26:0']
twitter.com/i/w,1,['2017-08-29T21:23:0']
usm.ag/2xvlbjn,1,['2017-08-29T21:08:1']
twitter.com/iga,1,['2017-08-29T21:04:0']
twitter.com/i/w,1,['2017-08-29T21:02:5']
apple.news/ACXL,1,['2017-08-29T20:35:3']
fb.me/6RcY3XOku,1,['2017-08-29T20:34:4']
dlvr.it/PjTMfV,1,['2017-08-29T20:34:1']
dlvr.it/PjTMSm,1,['2017-08-29T20:34:0']
goo.gl/iYW9gZ,1,['2017-08-29T20:32:5']
twitter.com/i/m,1,['2017-08-29T20:32:0']
twitter.com/rx,1,['2017-08-29T20:32:0']
twitter.com/i/w,1,['2017-08-29T20:23:0']
ijr.com/the-dec,1,['2017-08-29T20:11:4']
twitter.com/Gre,1,['2017-08-29T20:04:3']
dlvr.it/PjT3Pb,1,['2017-08-29T20:02:3']
dlvr.it/PjT37R,1,['2017-08-29T20:02:2']
crwd.fr/2vBVWe8,1,['2017-08-29T20:01:5']
twitter.com/LNN,1,['2017-08-29T20:01:2']
nextdivas.com/2,1,['2017-08-29T20:00:3']
thewrap.com/tw,1,['2017-08-29T19:59:0']
justjared.com/,1,['2017-08-29T19:56:3']
dailymail.co.u,1,['2017-08-29T19:46:2']
dailymail.co.u,1,['2017-08-29T19:46:0']
x17online.com/,1,['2017-08-29T19:43:2']
internetmarketi,1,['2017-08-29T19:34:4']
youtu.be/dip9va,1,['2017-08-29T19:27:3']
bit.ly/2xvpWJF,1,['2017-08-29T19:26:4']
trendeetalk.com,1,['2017-08-29T19:25:0']
budurl.com/RGBB,1,['2017-08-29T19:24:3']
wp.me/p4CFdB-3l,1,['2017-08-29T19:20:5']
fb.me/6Jd4sKhXi,1,['2017-08-29T19:20:3']
fb.me/1bBhxYttM,1,['2017-08-29T19:17:4']
huffingtonpost,1,['2017-08-29T19:17:2']
goo.gl/fb/vHThH,1,['2017-08-29T19:14:1']
twitter.com/i/w,1,['2017-08-29T19:12:5']
celebritiesrepo,1,['2017-08-29T19:12:3']
yahoo.com/styl,1,['2017-08-29T19:11:1']
dlvr.it/PjSbvx,1,['2017-08-29T19:11:0']
dlvr.it/PjSbQB,1,['2017-08-29T19:09:1']
fashion.trendol,1,['2017-08-29T19:09:0']
bit.ly/2xKnajc,1,['2017-08-29T19:08:0']
twitter.com/i/w,1,['2017-08-29T19:07:1']
dlvr.it/PjSZ5C,1,['2017-08-29T19:07:1']
bit.ly/2xKbXPu,1,['2017-08-29T19:05:4']
dlvr.it/PjSXnj,1,['2017-08-29T19:05:0']
cinemanews.biz,1,['2017-08-29T19:04:5']
goo.gl/fb/7wBd8,1,['2017-08-29T19:04:1']
twitter.com/i/w,1,['2017-08-29T19:04:1']
wp.me/p8czPe-3L,1,['2017-08-29T19:04:0']
ift.tt/2wfILlH,1,['2017-08-29T19:03:5']
bit.ly/2x1TocM,1,['2017-08-29T19:03:5']
twitter.com/Sho,1,['2017-08-29T19:03:3']
blogparser.com,1,['2017-08-29T19:03:0']
ow.ly/vbCl50dJf,1,['2017-08-29T19:00:2']
politics-journa,1,['2017-08-29T18:56:5']
aol.it/2wPGSxK,1,['2017-08-29T18:46:4']
yahoo.com/styl,1,['2017-08-29T18:43:2']
newslocker.com,1,['2017-08-29T18:43:2']
aol.com/articl,1,['2017-08-29T18:41:0']
twitter.com/TDP,1,['2017-08-29T18:40:3']
dlvr.it/PjSJr3,1,['2017-08-29T18:40:1']
ow.ly/Nqpp50dJc,1,['2017-08-29T18:31:1']
goo.gl/qQuhCP,1,['2017-08-29T18:26:4']
thisandthatblog,1,['2017-08-29T18:24:1']
stocksmarket.in,1,['2017-08-29T18:14:4']
twitter.com/i/w,1,['2017-08-29T18:12:3']
popsugar.com/f,1,['2017-08-29T18:12:3']
newsatw.com/,1,['2017-08-29T18:03:1']
newslocker.com,1,['2017-08-29T18:02:2']
goo.gl/fb/9frzs,1,['2017-08-29T18:01:5']
goo.gl/fb/JTTYb,1,['2017-08-29T18:01:0']
yahoo.com/news,1,['2017-08-29T17:59:2']
dlvr.it/PjRw1y,1,['2017-08-29T17:59:1']
goo.gl/fb/JD4ZZ,1,['2017-08-29T17:57:5']
newslocker.com,1,['2017-08-29T17:53:3']
nextladies.com/,1,['2017-08-29T17:53:2']
goo.gl/NTwbE7,1,['2017-08-29T17:51:4']
weareiowa.com/,1,['2017-08-29T17:42:3']
yahoo.com/news,1,['2017-08-29T17:39:4']
twitter.com/i/w,1,['2017-08-29T17:37:1']
yahoo.com/news,1,['2017-08-29T17:34:5']
trendolizer.co,1,['2017-08-29T17:34:0']
politics.trendo,1,['2017-08-29T17:32:4']
twitter.com/i/w,1,['2017-08-29T17:31:4']
ow.ly/PrBN50dJ7,1,['2017-08-29T17:30:5']
fb.me/1an5dzOYi,1,['2017-08-29T17:30:1']
disaster.trendo,1,['2017-08-29T17:29:2']
nytimes.com/20,1,['2017-08-29T17:22:3']
twitter.com/i/w,1,['2017-08-29T17:22:0']
politi.co/2vBBM,1,['2017-08-29T17:22:0']
twitter.com/i/w,1,['2017-08-29T17:21:5']
yahoo.com/news,1,['2017-08-29T17:20:5']
flip.it/b8GWQf-,1,['2017-08-29T17:19:5']
dlvr.it/PjRWKj,1,['2017-08-29T17:14:2']
twitter.com/i/w,1,['2017-08-29T17:12:1']
ift.tt/2wlqMsl,1,['2017-08-29T17:10:3']
uproxx.it/2x14d,1,['2017-08-29T17:06:4']
goo.gl/fb/BME9E,1,['2017-08-29T17:06:3']
twitter.com/i/w,1,['2017-08-29T17:06:0']
twitter.com/i/w,1,['2017-08-29T17:04:2']
ift.tt/2x1c2S0,1,['2017-08-29T17:02:4']
newslocker.com,1,['2017-08-29T17:00:2']
ift.tt/2vBinjo,1,['2017-08-29T16:56:1']
newslocker.com,1,['2017-08-29T16:46:2']
goo.gl/fb/tQtkh,1,['2017-08-29T16:43:2']
hamassenger.com,1,['2017-08-29T16:43:0']
